site    id      date            fernHealth      healthy fronds    poor fronds   buds     fingerlings     handSpans       footLongs     full
adz     1       2019-05-05      dead            0                 0             0        0               0               0            0
adz     2       2019-05-05      mostly dead     0                 2             0        0               0               0            8 (very short)
adz     3       2019-05-05      mostly dead     0                 0             0        0               0               0            0
adz     4       2019-05-05      healthy         6                 0             0        0               0               0            5 (18")
adz     5       2019-05-05      medium health   6                 3             5        0               0               0            0 (all buds dead)
adz     6       2019-05-05      healthy         5                 0             0        0               0               0            5 (18")
adz     7       2019-05-05      medium health   4                 3             0        0               0               3            3
adz     8       2019-05-05      healthy         10                3             0        0               0               0            5 (18", bug eaten)
adz     9       2019-05-05      medium health   8                 0             0        0               0               2            5 (16")
adz     10      2019-05-05      medium health   8                 0             0        0               0               0            14 (some insect damage)
adz     11      2019-05-05      healthy         9                 1             0        0               0               4            4 (14" no i  damage)
adz     12      2019-05-05      healthy         6                 2             0        0               0               1            3
gzn     1       2019-05-05      medium health   8               0               0        0               0               0              8 (3 short, 5 16")
gzn     2       2019-05-05      medium health   12              0               0        0               0               0              12 (2/10 short, others 16+)
gzn     3       2019-05-05      low health      3               2               0        0               0               0              0 (nothing)
gzn     4       2019-05-05      healthy (4 fr)  3               2               0        0               0               0              2 (18")
gzn     5       2019-05-05      healthy (12)    10              0               0        0               0               0              18 (12-18")
gzn     6       2019-05-05      healthy (8)     9               1               0        0               0               0              7
gzn     7       2019-05-05      healthy (6)     6               0               0        0               0               0              4 (same)
gzn     8       2019-05-05      healthy (6)     7               1               0        0               0               0              3 (1 tiny)
gzn     9       2019-05-05      healthy (9)     10              0               0        0               0               0              9
gzn     10      2019-05-05      healhty (8)     4               0               0        0               0               2              6
gzn     11      2019-05-05      healthy (8)     10              1               0        0               0               2              5
gzn     12      2019-05-05      healthy (8)     9               0               0        0               0               0              6
gzs     1       2019-05-05      medium healthy  8               0               0              0                0         0             14 (5 small)
gzs     2       2019-05-05      medium healthy  7               0               0              0                1         1             12 (various lengths)
gzs     3       2019-05-05      healthy         8               0               0              0                0         0             6
gzs     4       2019-05-05      healthy         4               0               0              0                0         0             3
gzs     5       2019-05-05      medium healthy  9               0               0              0                0         0             13
gzs     6       2019-05-05      healthy         6               0               0              0                0         0             5
gzs     7       2019-05-05      healthy         4               1               0              0                0         0             6
gzs     8       2019-05-05      healthy         6               0               0              0                0         0             8 (1 is short)
gzs     9       2019-05-05      healthy        11               1               0              0                0         0             7
gzs     10      2019-05-05      poor health     8               1               0              0                0         0             12
gzs     11      2019-05-05      healthy         7               2               0              0                0         0             5 (tips curled)
gzs     12      2019-05-05      healthy         6               0               0              0                0         0             3 (24")
