site    id      date            fernHealth      healthy fronds    poor fronds   buds     fingerlings     handSpans       footLongs     full

adz     1       2019-04-28      dead            0                 0             0        0               0               0            0
adz     2       2019-04-28      mostly dead     0                 2             0        0               0               0            6 (short)
adz     3       2019-04-28      mostly dead     0                 0             0        0               0               0            0
adz     4       2019-04-28      healthy         6                 0             0        0               0               0            5 (18")
adz     5       2019-04-28      medium health   6                 3             5        0               0               0            0 (all buds dead)
adz     6       2019-04-28      healthy         5                 0             0        0               0               3            4
adz     7       2019-04-28      medium health   4                 3             0        0               2               1            2
adz     8       2019-04-28      healthy         10                3             0        0               0               0            5 (14")
adz     9       2019-04-28      medium health   8                 0             0        0               1               3            1
adz     10      2019-04-28      medium health   8                 0             0        0               1               0            13 (some insect damage)
adz     11      2019-04-28      healthy         9                 1             0        0               0               4            4 (14" no i  damage)
adz     12      2019-04-28      healthy         6                 2             0        0               4               0            0




site    id      date            fernHealth      healthy fronds  poor fronds     buds     fingerlings     handSpans       footLongs      full

gzn     1       2019-04-28      medium health   8               0               0        0               2               0              5
gzn     2       2019-04-28      medium health   12              0               0        0               1               1              10 (12", others 16+)
gzn     3       2019-04-28      low health      3               2               0        0               0               0              0 (nothing)
gzn     4       2019-04-28      healthy (4 fr)  3               2               0        0               0               0              2
gzn     5       2019-04-28      healthy (12)    10              0               0        0               1               2              16 (12-18")
gzn     6       2019-04-28      healthy (8)     9               1               0        0               0               0              7 (tips slightly furled)
gzn     7       2019-04-28      healthy (6)     6               0               0        0               0               0              4 (same)
gzn     8       2019-04-28      healthy (6)     7               1               0        0               0               0              2 (1 baby?)
gzn     9       2019-04-28      healthy (9)     10              0               0        0               0               0              8
gzn     10      2019-04-28      healhty (8)     4               0               0        0               0               1              5
gzn     11      2019-04-28      healthy (8)     10              1               0        0               0               0              5
gzn     12      2019-04-28      healthy (8)     9               0               0        0               0               6              0




gzs     1       2019-04-28      medium healthy  8               0               0              0                0         0             11 (8-16")
gzs     2       2019-04-28      medium healthy  7               0               0              0                1         1             10 (various lengths)
gzs     3       2019-04-28      healthy         8               0               0              0                0         0             6
gzs     4       2019-04-28      healthy         4               0               0              0                0         0             3
gzs     5       2019-04-28      medium healthy  9               0               0              0                0         1             12
gzs     6       2019-04-28      healthy         6               0               0              0                0         0             5
gzs     7       2019-04-28      healthy         4               1               0              0                0         0             6
gzs     8       2019-04-28      healthy         6               0               0              0                1         1             5 (1 is short)
gzs     9       2019-04-28      healthy        11               1               0              0                0         0             8
gzs     10      2019-04-28      poor health     8               1               0              0                0         4             6
gzs     11      2019-04-28      healthy         7               2               0              0                0         0             5 (tips curled)
gzs     12      2019-04-28      healthy         6               0               0              0                0         0             3 (24")
