Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-01-19 14.17.59)-1,19 Jan 2020,14:17:59,342,47.561493°,-122.253213° ,±39ft,11.478697,WGS 84,Bearing: 342° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.18.06)-185,19 Jan 2020,14:18:6,202,47.561493°,-122.253216° ,±78ft,11.227765,WGS 84,Bearing: 202° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.18.14)-35,19 Jan 2020,14:18:14,141,47.561514°,-122.253221° ,±52ft,11.304628,WGS 84,Bearing: 141° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.18.19)-86,19 Jan 2020,14:18:19,115,47.561513°,-122.253136° ,±39ft,11.648688,WGS 84,Bearing: 115° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.19.12)-137,19 Jan 2020,14:19:12,271,47.561505°,-122.253199° ,±26ft,11.533411,WGS 84,Bearing: 271° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.20.52)-82,19 Jan 2020,14:20:52,187,47.561339°,-122.253194° ,±19ft,13.112340,WGS 84,Bearing: 187° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.22.05)-97,19 Jan 2020,14:22:5,81,47.561216°,-122.253025° ,±26ft,14.022176,WGS 84,Bearing: 81° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.22.18)-191,19 Jan 2020,14:22:18,59,47.561217°,-122.253008° ,±26ft,14.085386,WGS 84,Bearing: 59° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.22.24)-206,19 Jan 2020,14:22:24,119,47.561216°,-122.252990° ,±26ft,14.093997,WGS 84,Bearing: 119° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.22.33)-214,19 Jan 2020,14:22:33,22,47.561207°,-122.252978° ,±26ft,14.225645,WGS 84,Bearing: 22° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.24.07)-38,19 Jan 2020,14:24:7,125,47.561210°,-122.252937° ,±26ft,14.369830,WGS 84,Bearing: 125° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.24.18)-99,19 Jan 2020,14:24:18,134,47.561208°,-122.252916° ,±26ft,14.477975,WGS 84,Bearing: 134° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.24.23)-222,19 Jan 2020,14:24:23,84,47.561217°,-122.252902° ,±26ft,14.467180,WGS 84,Bearing: 84° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.24.44)-5,19 Jan 2020,14:24:44,167,47.561144°,-122.252800° ,±26ft,15.098371,WGS 84,Bearing: 167° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.25.01)-170,19 Jan 2020,14:25:1,233,47.561086°,-122.252772° ,±26ft,15.390366,WGS 84,Bearing: 233° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.25.10)-232,19 Jan 2020,14:25:10,277,47.561059°,-122.252767° ,±26ft,15.568880,WGS 84,Bearing: 277° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.25.14)-106,19 Jan 2020,14:25:14,228,47.561047°,-122.252786° ,±26ft,15.517788,WGS 84,Bearing: 228° SW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.25.19)-19,19 Jan 2020,14:25:19,167,47.561051°,-122.252780° ,±26ft,15.489605,WGS 84,Bearing: 167° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-19 14.25.24)-63,19 Jan 2020,14:25:24,123,47.561056°,-122.252772° ,±26ft,15.537251,WGS 84,Bearing: 123° SE,Test 1,At hone,Your Watermark - See Settings
