Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-02-02 14.21.42)-266,02 Feb 2020,14:21:42,307,47.560391°,-122.251012° ,±19ft,28.512581,WGS 84,Bearing: 307° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.21.55)-121,02 Feb 2020,14:21:55,79,47.560395°,-122.250983° ,±26ft,28.456421,WGS 84,Bearing: 79° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.22.26)-123,02 Feb 2020,14:22:26,68,47.560328°,-122.250858° ,±52ft,28.879984,WGS 84,Bearing: 68° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.22.35)-35,02 Feb 2020,14:22:35,346,47.560298°,-122.250878° ,±52ft,29.147972,WGS 84,Bearing: 346° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.22.40)-219,02 Feb 2020,14:22:40,67,47.560305°,-122.250869° ,±52ft,29.101023,WGS 84,Bearing: 67° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.22.48)-78,02 Feb 2020,14:22:48,109,47.560306°,-122.250956° ,±52ft,29.101316,WGS 84,Bearing: 109° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.22.55)-191,02 Feb 2020,14:22:55,37,47.560307°,-122.250983° ,±52ft,29.030550,WGS 84,Bearing: 37° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.01)-257,02 Feb 2020,14:23:1,175,47.560290°,-122.251000° ,±52ft,29.267084,WGS 84,Bearing: 175° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.06)-237,02 Feb 2020,14:23:6,87,47.560293°,-122.251005° ,±52ft,29.176771,WGS 84,Bearing: 87° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.12)-138,02 Feb 2020,14:23:12,36,47.560285°,-122.250978° ,±52ft,29.225224,WGS 84,Bearing: 36° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.17)-31,02 Feb 2020,14:23:17,81,47.560256°,-122.250970° ,±52ft,29.341074,WGS 84,Bearing: 81° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.21)-82,02 Feb 2020,14:23:21,72,47.560233°,-122.250946° ,±52ft,29.454784,WGS 84,Bearing: 72° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.26)-179,02 Feb 2020,14:23:26,351,47.560261°,-122.250943° ,±26ft,29.379725,WGS 84,Bearing: 351° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-02-02 14.23.33)-186,02 Feb 2020,14:23:33,330,47.560270°,-122.250895° ,±26ft,29.330475,WGS 84,Bearing: 330° NW,Test 1,At hone,Your Watermark - See Settings
