Photo file Name,Date,Time,Direction,Latitude,Longitude,Position Accuracy,Altitude,Datum,Capture Mode Detail,Project Name,Photo Description,Watermark
Test 1 (2020-01-26 14.29.12)-62,26 Jan 2020,14:29:12,69,47.561285°,-122.251926° ,±39ft,19.629377,WGS 84,Bearing: 69° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.29.44)-39,26 Jan 2020,14:29:44,113,47.561222°,-122.251884° ,±52ft,20.501623,WGS 84,Bearing: 113° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.29.51)-64,26 Jan 2020,14:29:51,47,47.561199°,-122.251908° ,±52ft,20.498285,WGS 84,Bearing: 47° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.30.00)-19,26 Jan 2020,14:30:0,13,47.561218°,-122.251953° ,±52ft,20.167191,WGS 84,Bearing: 13° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.30.05)-38,26 Jan 2020,14:30:5,94,47.561218°,-122.251971° ,±52ft,19.981934,WGS 84,Bearing: 94° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.30.13)-65,26 Jan 2020,14:30:13,174,47.561254°,-122.251984° ,±52ft,19.503374,WGS 84,Bearing: 174° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.08)-9,26 Jan 2020,14:31:8,93,47.561198°,-122.252163° ,±26ft,19.028660,WGS 84,Bearing: 93° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.15)-121,26 Jan 2020,14:31:15,126,47.561178°,-122.252192° ,±26ft,18.994034,WGS 84,Bearing: 126° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.24)-76,26 Jan 2020,14:31:24,92,47.561137°,-122.252172° ,±26ft,19.453323,WGS 84,Bearing: 92° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.30)-84,26 Jan 2020,14:31:30,140,47.561103°,-122.252193° ,±26ft,19.504906,WGS 84,Bearing: 140° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.37)-92,26 Jan 2020,14:31:37,155,47.561083°,-122.252248° ,±26ft,19.330702,WGS 84,Bearing: 155° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.42)-101,26 Jan 2020,14:31:42,199,47.561074°,-122.252237° ,±26ft,19.310368,WGS 84,Bearing: 199° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.31.48)-115,26 Jan 2020,14:31:48,109,47.561062°,-122.252214° ,±26ft,19.533352,WGS 84,Bearing: 109° E,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.32.07)-90,26 Jan 2020,14:32:7,181,47.561019°,-122.252203° ,±26ft,19.744543,WGS 84,Bearing: 181° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.32.19)-95,26 Jan 2020,14:32:19,147,47.560969°,-122.252194° ,±26ft,20.051352,WGS 84,Bearing: 147° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.32.29)-79,26 Jan 2020,14:32:29,328,47.560929°,-122.252212° ,±26ft,20.079824,WGS 84,Bearing: 328° NW,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.32.34)-119,26 Jan 2020,14:32:34,254,47.560924°,-122.252203° ,±26ft,20.170036,WGS 84,Bearing: 254° W,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.32.49)-82,26 Jan 2020,14:32:49,192,47.560917°,-122.252252° ,±26ft,19.795118,WGS 84,Bearing: 192° S,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.32.54)-106,26 Jan 2020,14:32:54,156,47.560934°,-122.252275° ,±26ft,19.598366,WGS 84,Bearing: 156° SE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.33.05)-71,26 Jan 2020,14:33:5,12,47.560921°,-122.252305° ,±26ft,19.379930,WGS 84,Bearing: 12° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.33.10)-112,26 Jan 2020,14:33:10,14,47.560914°,-122.252319° ,±26ft,19.327269,WGS 84,Bearing: 14° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.33.21)-93,26 Jan 2020,14:33:21,14,47.560925°,-122.252342° ,±26ft,19.072701,WGS 84,Bearing: 14° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.33.25)-99,26 Jan 2020,14:33:25,41,47.560925°,-122.252331° ,±26ft,19.168064,WGS 84,Bearing: 41° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.33.30)-74,26 Jan 2020,14:33:30,28,47.560966°,-122.252321° ,±26ft,19.176203,WGS 84,Bearing: 28° NE,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.33.43)-120,26 Jan 2020,14:33:43,347,47.560970°,-122.252269° ,±26ft,19.451172,WGS 84,Bearing: 347° N,Test 1,At hone,Your Watermark - See Settings
Test 1 (2020-01-26 14.34.03)-83,26 Jan 2020,14:34:3,326,47.561016°,-122.252171° ,±39ft,20.002491,WGS 84,Bearing: 326° NW,Test 1,At hone,Your Watermark - See Settings
