
12      -4.4     -22.3
73      -5.2     -18.7
34      -5.9     -18.2
29      -2.10    -16.9
10      -3.4     -11.10
52      -1.5     -8.3
39      -1.5     -7.2
2       -8.2     -3.8
18      -9.4     -7.9
23      -9.4     -16.3
6       -9.4     -17.5
57      -9.0     -19.5
11      -9.9     -20.9
69      -14.5    -19.9
44      -15.2    -16.3
83      -12.6    -5.4
88      -13.5    -5.4
17      -15.3    -1.8
101     -20.11   -7.2
19      -24.9    -5.3
21      -20.6    -29.0
# 42      -25.4    NA
# 87      -6.3     NA





healthy

14      -4.0     -4.4     10 new    4 old
71      -4.0     -2.11    10 new   10 old
46      -26.9    -11.8    14 new   20  old (some of which show variegated die-off like symptoms)

trees

cedar #1 with healthy ferns:  x 4.7   y 7.1   dbh
big cedar #2 to east:         x 16.1  y 12.5
uphill mpale                  x 10.4  y 5.8
old big log east end:         x 46.9  y 2.5
east ridge cedar              x 18.9  y 44.8

