-*- Mode:	Tabbed	-*-
#	nw	quadrant
1	1.11	-6.8
2	2.3	-10.11
4	2.8	-13.10
68	4.4	-17.2
70	6.7	-20.2
3	8.4	-14.1
10	6.9	-10.6
5	8.6	-6.9
15	7.7	-0
69	11.0	-17.7
8	12.6	-14.4
7	11.2	-13.0
6	12.3	-9.4
13	13.7	-2.8
11	15.10	-5.6
9	16.0	-8.2
14	15.6	-12.10
16	16.9	-16.9
17	15.7	-19.9
71	20.3	-19.8
15	19.5	-14.6
89	22.4	-17.1
75	24.1	-18.9
18	21.9	-13.6
29	24.1	-17.2
86	29.4	-22.3
36	27.7	-7.0
27	27.7	-5.4
20	29.7	-5.4
84	29.7	-1.6
21	31.7	-9.2
80	32.6	-15.1
74	31.3	-22.10
73	34.1	-21.8
77	36.8	-23.6
46	39.11	-24.0
81	37.2	-17.7
24	37.9	-11.9
25	39.4	-1.11
22	40.11	-4.3
19	42.5	-3.6
39	42.5	-4.8
34	42.10	-6.10
33	45.10	-9.6
37	46.9	-1.8
35	50.1	-3.6
31	52.4	-1.5
32	46.1	-18.10
78	43.6	-26.3
48	49.11	-26.3
23	60.8	-3.1
20	28.6	-5.7

healthy
42	19.11	-17.3	healthy;	new	fronds:7	(2	ft	long	all	green)	old:	4	ok	healthy
79	26.5	-24.3	new	3,	2	ft	long;	old	2
45	28.3	-19.11	new	7,	2	ft	long,	all	green;	9	old
44	59.9	-33.4	new	5.5;	old	6
47	48.6	-19.0	new:	zero	old:	17
59	54.0	-15.8	new:	3;	old:	1

trees
forked	maple,	dbh	54.8	cm,	x:	26.2	y:	-15.7
dead	little	maple,	x:	42.4	y:	-17.1	dbh:	15.7cm
healthy	limbless	maple	touching	downed	fir,	x:	58.0	y:	-26.3,	dbh	40.5	cm
big	downed	fir:	149cm	dbm	at	the	trail,	160	cm	dbh	at	base
	at	trail:	x	54.8	y:	-35.2
	at	butt:	53.4	-17.8
uphill	maple:	dbh	37.8	cm	x	53.11	y	-4.2
uphill	hemloc:	dbh	13cm	65.11	y	0


