,status,fronds.new,fronds.old,fronds.ratio,min,species,dbh,nw.tree.01,nw.tree.02,nw.tree.03,nw.tree.04,nw.tree.05,sw.tree.06,sw.tree.07,sw.tree.08,sw.tree.09,sw.tree.10,sw.tree.11,sw.tree.12,ne.tree.13,ne.tree.14,ne.tree.15,se.tree.16,se.tree.17,sw.tree.20,sw.tree.21,sw.tree.22,sw.tree.23,sw.tree.24,sw.tree.25,se.log.01.eastTip,nw.log.02.southButt,smaller.doug.fir.log
se.healthyFern.61,alive,5,13,0.38,14.21,TSME,6,63.39,77.72,95.88,92.5,92.77,55.07,60.33,70.36,69.22,73.72,84.56,78.75,35.76,35.66,31.35,21.37,20.76,16.43,14.21,24.44,22.23,17,22.86,37.24,83.59,20.77
se.healthyFern.68,alive,3,3,1,11.15,CWD,15,59.52,70.95,88.59,80.6,80.01,37.67,39.73,50.23,50.67,56.84,68.6,62.27,40.87,46.93,39.46,28.18,38.35,36.81,34.93,17.26,32.87,32.69,34.13,25.49,73.34,11.15
se.healthyFern.28,alive,6,20,0.3,14.96,THPL,105,69.88,79.52,96.43,85.52,84.25,39.4,34.42,45.85,49.6,57.79,70.15,63.48,54.33,60.8,53.25,42.03,51.48,46.38,45.09,14.96,36.38,39.24,37.77,24.58,79.69,24.25
se.healthyFern.1001,alive,4,3,1.33,6.27,ACMA,60.5,40.74,55.12,73.27,71.23,71.95,40.55,52.4,59.94,55.27,57.09,66.43,61.39,16.6,24.05,15.7,6.27,23.77,35.9,33.02,38.93,44.6,39.62,45.36,36.69,61.74,13.73
se.healthyFern.1002,alive,3,3,1,3.69,ACMA,60.5,40.78,55.57,73.68,72.48,73.35,43.08,55.19,62.64,57.79,59.33,68.44,63.53,14.67,21.32,13.11,3.69,21.52,34.94,32.04,40.54,44.9,39.47,45.58,39.48,62.78,16.25
ne.healthyFern.14,alive,10,4,2.5,2.75,THPL,92.5,32.36,48.22,65.92,68.09,69.63,47.1,62.08,67.97,61.21,60.65,68.02,64.03,2.75,14.4,6.3,12.22,25.08,43.08,40.19,52.56,55.74,49.56,56.29,47.05,57.6,27.33
ne.healthyFern.71,alive,10,10,1,4.16,THPL,92.5,32.88,48.61,66.4,68.1,69.56,46.14,60.91,66.93,60.34,59.98,67.55,63.45,4.16,15.23,6.75,11.09,24.77,42.35,39.46,51.22,54.66,48.59,55.23,45.81,57.7,25.92
ne.healthyFern.46,alive,14,20,0.7,10.7,THPL,118,53.06,69.29,85.99,90.98,92.82,69.29,81.99,89.34,83.82,84.09,91.75,87.65,23.04,10.7,17.48,23.43,13.53,33.19,31.06,58.15,51.9,43.81,51.86,30.26,80.18,38.24
nw.healthyFern.42,alive,7,4,1.75,6.47,ACMA,54.8,6.47,22.41,39.13,45.9,48.58,46.44,65.53,66.88,56.54,51.25,53.8,52.3,26.15,36.32,32.39,38.6,52.01,70.38,67.49,74.44,81.72,76.22,82.42,54.45,34.76,39.36
nw.healthyFern.79,alive,3,2,1.5,8.67,ACMA,54.8,8.67,17.45,31.64,42.54,45.85,52.45,71.84,71.91,60.84,54.15,54.54,54.21,35.08,44.12,41.18,48.02,60.76,79.58,76.7,83.83,91.25,85.67,91.94,61.99,31.61,40.19
nw.healthyFern.45,alive,7,9,0.78,4.81,ACMA,54.8,4.81,14.36,30.42,38.99,42.09,48.03,67.44,67.3,56.18,49.45,50.01,49.56,34.87,44.96,41.13,46.97,60.75,78.94,76.03,81.3,89.7,84.46,90.45,58,27.91,44.08
nw.healthyFern.44,alive,6,6,1,5.25,CWD,154,37.98,23.82,7.29,29.46,33.79,68.24,86.13,81.5,69.45,59.33,52.25,56.05,69.1,78.66,75.34,80.9,94.97,113.04,110.13,112.01,122.77,118.04,123.61,81.93,5.25,68.75
nw.healthyFern.47,alive,0,17,0,6.46,ACMA,15.7,22.59,6.46,11.95,21.39,25.38,50.58,69.03,65.46,53.41,44,39.55,41.78,54,64.91,60.32,64.52,79.75,96.78,93.86,93.95,105.37,101.02,106.27,63.92,12.32,62.2
nw.healthyFern.59,alive,3,1,3,8.03,CWD,154,27.83,11.75,11.31,15.19,19.34,49.9,67.58,63.02,50.95,40.99,35.06,38.09,58.8,70.16,65.1,68.51,84.32,100.7,97.79,95.81,108.31,104.36,109.27,63.94,8.03,68.59
sw.healthyFern.46,alive,7,6,1.17,17.97,CWD,154,27.2,23.5,36.3,24.19,24.03,24.84,42.84,39.67,27.78,19.77,21.57,19.9,48.27,61.22,53.87,53.25,70.82,83.78,80.98,73.14,88.01,85.29,89.1,39.11,17.97,49.06
sw.healthyFern.79,alive,7,9,0.78,7.72,COCO,18.5,51.41,54.47,68.41,52.99,50.91,7.72,11.79,16.09,14.43,22.57,34.98,28.26,54.22,66.03,57.17,50.13,66.87,71.95,69.66,49.48,68.89,69.06,70.2,11.17,49.73,35.45
