,status,x1,y1,new_fronds,old_fronds,comments
#se.healthyFern.87,alive,-5.25,9.33,NA,NA,same as 1001
#se.healthyFern.73,alive,-6.42,6.5,NA,NA,same as 1002 (allow for 1 ft measurement error)
se.healthyFern.61,alive,-24.75,22.17,5,13,
se.healthyFern.68,alive,-7.25,33.67,3,3,
se.healthyFern.28,alive,-4.42,47.25,6,20,
se.healthyFern.1001,alive,-6,9.42,4,3,
se.healthyFern.1002,alive,-7.67,7.17,3,3,cannot find old - but i remember them
ne.healthyFern.14,alive,-4.17,-4.33,10,4,
ne.healthyFern.71,alive,-4.17,-2.92,10,10,
ne.healthyFern.46,alive,-26.75,-11.67,14,20,some of old show variegated die-off like symptoms
nw.healthyFern.42,alive,19.92,-17.25,7,4,new fronds are all 2 feet long; green and healthy
nw.healthyFern.79,alive,26.42,-24.25,3,2,2 ft. long green healthy
nw.healthyFern.45,alive,28.25,-19.92,7,9,2 ft long all green
nw.healthyFern.44,alive,59.75,-33.33,6,6,one of the new fronds is 1' others ~2'
nw.healthyFern.47,alive,48.5,-19,0,17,at NE corner of big down fir rootball
nw.healthyFern.59,alive,54,-15.67,3,1,
sw.healthyFern.46,alive,42.17,6.42,7,6,the lazarus fern
sw.healthyFern.79,alive,29.08,35.75,7,9,
sw.healthyFern.37,alive,21.33,44.67,8,11,
sw.healthyFern.78,alive,7.25,36.08,NA,NA,mystery - short fronds slightly curly - maybe lazarus-ish?
nw.deadFern.1,dead,1.92,-6.67,,,
nw.deadFern.2,dead,2.25,-10.92,,,
nw.deadFern.4,dead,2.67,-13.08,,,
nw.deadFern.68,dead,4.33,-17.17,,,
nw.deadFern.70,dead,6.58,-20.17,,,
nw.deadFern.3,dead,8.33,-14.08,,,
nw.deadFern.10,dead,6.75,-10.5,,,
nw.deadFern.5,dead,8.5,-6.75,,,
nw.deadFern.15,dead,7.58,0,,,
nw.deadFern.69,dead,11,-17.58,,,
nw.deadFern.8,dead,12.5,-14.33,,,
nw.deadFern.7,dead,11.17,-13,,,
nw.deadFern.6,dead,12.25,-9.33,,,
nw.deadFern.13,dead,13.58,-2.67,,,
nw.deadFern.11,dead,15.08,-5.5,,,
nw.deadFern.9,dead,16,-8.17,,,
nw.deadFern.14,dead,15.5,-12.08,,,
nw.deadFern.16,dead,16.75,-16.75,,,
nw.deadFern.17,dead,15.58,-19.75,,,
nw.deadFern.71,dead,20.25,-19.67,,,
nw.deadFern.150,dead,19.42,-14.5,,,
nw.deadFern.89,dead,22.33,-17.08,,,
nw.deadFern.75,dead,24.08,-18.75,,,
nw.deadFern.18,dead,21.75,-13.5,,,
nw.deadFern.29,dead,24.08,-17.17,,,
nw.deadFern.86,dead,29.33,-22.25,,,
nw.deadFern.36,dead,27.58,-7,,,
nw.deadFern.27,dead,27.58,-5.33,,,
nw.deadFern.20,dead,29.58,-5.33,,,
nw.deadFern.84,dead,29.58,-1.5,,,
nw.deadFern.21,dead,31.58,-9.17,,,
nw.deadFern.80,dead,32.5,-15.08,,,
nw.deadFern.74,dead,31.25,-22.08,,,
nw.deadFern.73,dead,34.08,-21.67,,,
nw.deadFern.77,dead,36.67,-23.5,,,
nw.deadFern.46,dead,39.92,-24,,,
nw.deadFern.81,dead,37.17,-17.58,,,
nw.deadFern.24,dead,37.75,-11.75,,,
nw.deadFern.25,dead,39.33,-1.92,,,
nw.deadFern.22,dead,40.92,-4.25,,,
nw.deadFern.19,dead,42.42,-3.5,,,
nw.deadFern.39,dead,42.42,-4.67,,,
nw.deadFern.34,dead,42.08,-6.08,,,
nw.deadFern.33,dead,45.08,-9.5,,,
nw.deadFern.37,dead,46.75,-1.67,,,
nw.deadFern.35,dead,50.08,-3.5,,,
nw.deadFern.31,dead,52.33,-1.42,,,
nw.deadFern.32,dead,46.08,-18.08,,,
nw.deadFern.78,dead,43.5,-26.25,,,
nw.deadFern.48,dead,49.92,-26.25,,,
nw.deadFern.23,dead,60.67,-3.08,,,
sw.deadFern.68,dead,2.25,3.75,,,
sw.deadFern.55,dead,2.25,7.67,,,
sw.deadFern.50,dead,2.42,13.08,,,
sw.deadFern.41,dead,1.17,13.08,,,
sw.deadFern.30,dead,4.58,19.08,,,
sw.deadFern.40,dead,5.33,19.08,,,
sw.deadFern.28,dead,0,20.92,,,
sw.deadFern.35,dead,4.58,26.33,,,
sw.deadFern.36,dead,8.33,24.58,,,
sw.deadFern.33,dead,10.33,25.5,,,
sw.deadFern.84,dead,10.75,23.25,,,
sw.deadFern.103,dead,10.42,17.17,,,
sw.deadFern.52,dead,8.08,14.67,,,
sw.deadFern.57,dead,8.08,14.17,,,
sw.deadFern.53,dead,10.58,5.75,,,
sw.deadFern.51,dead,13.08,8.33,,,
sw.deadFern.27,dead,13.08,18.17,,,
sw.deadFern.56,dead,19.08,20.5,,,
sw.deadFern.20,dead,18.92,15.5,,,
sw.deadFern.62,dead,20.08,12.08,,,
sw.deadFern.61,dead,18.5,11.17,,,
sw.deadFern.83,dead,16.58,11,,,
sw.deadFern.13,dead,15.33,5.5,,,
sw.deadFern.3,dead,18.75,4.58,,,
sw.deadFern.45,dead,22.33,9.08,,,
sw.deadFern.9,dead,25.42,5.5,,,
sw.deadFern.8,dead,25.08,3.42,,,
sw.deadFern.11,dead,23.58,2.08,,,
sw.deadFern.5,dead,30.08,1.08,,,
sw.deadFern.19,dead,31.42,10.58,,,
sw.deadFern.88,dead,30.17,12.42,,,
sw.deadFern.18,dead,35.75,16.17,,,
sw.deadFern.82,dead,40.33,17.5,,,
sw.deadFern.25,dead,36.08,12.08,,,
sw.deadFern.39,dead,36,8.08,,,
sw.deadFern.89,dead,39.33,9.58,,,
sw.deadFern.21,dead,41.92,9.33,,,
sw.deadFern.14,dead,36.75,6,,,
