Latitude	Longitude	Elevation
47.52903000	-121.996850	181.0
47.52904000	-121.996900	181.0
47.52903000	-121.996940	181.0
47.52903000	-121.996980	181.0
47.52903000	-121.997030	181.0
47.52902000	-121.997070	181.0
47.52902000	-121.997120	181.0
47.52903000	-121.997170	181.0
47.52905000	-121.997210	180.0
47.52905000	-121.997270	180.0
47.52905000	-121.997310	180.0
47.52903000	-121.997360	180.0
47.52902000	-121.997400	180.0
47.52900000	-121.997450	179.0
47.52899000	-121.997480	179.0
47.52897000	-121.997520	179.0
47.52894000	-121.997540	179.0
47.52891000	-121.997560	179.0
47.52890000	-121.997610	179.0
47.52889000	-121.997660	179.0
47.52890000	-121.997700	179.0
47.52892000	-121.997750	178.0
47.52894000	-121.997790	178.0
47.52895000	-121.997840	178.0
47.52892000	-121.997880	178.0
47.52890000	-121.997910	178.0
47.52888000	-121.997940	178.0
47.52886000	-121.997990	178.0
47.52885000	-121.998050	178.0
47.52886000	-121.998100	178.0
47.52887000	-121.998150	178.0
47.52887000	-121.998190	178.0
47.52888000	-121.998240	178.0
47.52888000	-121.998290	178.0
47.52889000	-121.998330	178.0
47.52890000	-121.998380	178.0
47.52889000	-121.998430	178.0
47.52887000	-121.998470	178.0
47.52885000	-121.998510	178.0
47.52882000	-121.998540	178.0
47.52880000	-121.998570	178.0
47.52878000	-121.998610	177.0
47.52875000	-121.998640	177.0
47.52872000	-121.998670	177.0
47.52868000	-121.998690	176.0
47.52865000	-121.998720	176.0
47.52864000	-121.998760	176.0
47.52863000	-121.998800	176.0
47.52861000	-121.998860	175.0
47.52859000	-121.998890	175.0
47.52856000	-121.998910	175.0
47.52854000	-121.998930	175.0
47.52851000	-121.998960	174.0
47.52848000	-121.998990	174.0
47.52846000	-121.999020	174.0
47.52843000	-121.999020	173.0
47.52839000	-121.999000	173.0
47.52836000	-121.998990	172.0
47.52832000	-121.998960	172.0
47.52829000	-121.998940	172.0
47.52826000	-121.998920	172.0
47.52822000	-121.998890	172.0
47.52820000	-121.998870	172.0
47.52819000	-121.998830	171.0
47.52818000	-121.998780	171.0
47.52818000	-121.998740	171.0
47.52815000	-121.998700	171.0
47.52813000	-121.998680	171.0
47.52809000	-121.998690	171.0
47.52807000	-121.998730	171.0
47.52804000	-121.998770	171.0
47.52803000	-121.998820	171.0
47.52802000	-121.998870	171.0
47.52802000	-121.998930	170.0
47.52802000	-121.998970	170.0
47.52801000	-121.999020	170.0
47.52800000	-121.999080	170.0
47.52799000	-121.999130	170.0
47.52798000	-121.999190	170.0
47.52797000	-121.999240	170.0
47.52794000	-121.999280	171.0
47.52792000	-121.999310	171.0
47.52789000	-121.999340	172.0
47.52786000	-121.999380	172.0
47.52785000	-121.999430	173.0
47.52784000	-121.999480	173.0
47.52784000	-121.999530	174.0
47.52784000	-121.999580	174.0
47.52786000	-121.999620	174.0
47.52788000	-121.999660	174.0
47.52789000	-121.999700	175.0
47.52790000	-121.999740	175.0
47.52790000	-121.999800	175.0
47.52791000	-121.999850	175.0
47.52791000	-121.999900	176.0
47.52790000	-121.999940	176.0
47.52789000	-122.000000	1712.0
47.52791000	-122.000050	177.0
47.52793000	-122.000090	177.0
47.52795000	-122.000120	177.0
47.52796000	-122.000170	177.0
47.52796000	-122.000210	177.0
47.52798000	-122.000240	177.0
47.52800000	-122.000210	177.0
47.52803000	-122.000200	177.0
47.52806000	-122.000220	177.0
47.52807000	-122.000160	177.0
47.52809000	-122.000130	177.0
47.52809000	-122.000180	177.0
47.52810000	-122.000240	177.0
47.52811000	-122.000300	177.0
47.52811000	-122.000390	177.0
47.52810000	-122.000450	177.0
47.52809000	-122.000510	177.0
47.52808000	-122.000560	177.0
47.52808000	-122.000630	177.0
47.52807000	-122.000680	177.0
47.52807000	-122.000730	177.0
47.52808000	-122.000780	177.0
47.52807000	-122.000840	177.0
47.52807000	-122.000880	177.0
47.52806000	-122.000920	177.0
47.52806000	-122.000970	176.0
47.52806000	-122.001020	176.0
47.52806000	-122.001060	176.0
47.52806000	-122.001100	175.0
47.52805000	-122.001140	175.0
47.52804000	-122.001190	175.0
47.52803000	-122.001260	175.0
47.52804000	-122.001310	175.0
47.52805000	-122.001350	175.0
47.52807000	-122.001400	174.0
47.52810000	-122.001460	172.0
47.52813000	-122.001510	171.0
47.52815000	-122.001550	169.0
47.52817000	-122.001590	168.0
47.52818000	-122.001620	167.0
47.52819000	-122.001670	166.0
47.52819000	-122.001720	166.0
47.52817000	-122.001770	166.0
47.52816000	-122.001810	167.0
47.52814000	-122.001850	167.0
47.52812000	-122.001870	168.0
47.52809000	-122.001900	169.0
47.52806000	-122.001920	170.0
47.52803000	-122.001950	170.0
47.52800000	-122.001950	171.0
47.52796000	-122.001940	172.0
47.52792000	-122.001930	173.0
47.52789000	-122.001930	174.0
47.52787000	-122.001970	174.0
47.52787000	-122.002030	174.0
47.52788000	-122.002080	173.0
47.52790000	-122.002130	172.0
47.52791000	-122.002170	172.0
47.52792000	-122.002210	171.0
47.52793000	-122.002260	171.0
47.52793000	-122.002310	170.0
47.52793000	-122.002370	170.0
47.52792000	-122.002410	170.0
47.52791000	-122.002460	170.0
47.52789000	-122.002510	170.0
47.52786000	-122.002540	171.0
